"ID","아파트명","지번주소","세대수","임대수","동수","용적률","건폐율","주차대수"
"113678","경원북한산휴그린","서울 강북구 수유동 268-17",28,0,1,249,17,25
"105951","경원시티","서울 관악구 봉천동 63-45",19,0,1,199,47,22
"110012","경원파발리안","서울 은평구 응암동 93-8",26,0,1,357,38,23
"110029","경원파발리안","서울 은평구 녹번동 83-16",24,0,1,325,58,20
"105884","경인리빙텔","서울 강남구 역삼동 837-31",30,0,1,228,36,27
"136205","경인에버빌","서울 은평구 대조동 197-16",21,0,1,495,59,12
"123065","경인에버빌(도시형)","서울 은평구 불광동 285-18",22,0,1,499,59,15
"102155","경일","서울 서대문구 홍제동 322-79",24,0,2,0,0,25
"102194","경일","서울 송파구 송파동 139-4",16,0,1,271,48,0
"16464","경일역삼","서울 강남구 역삼동 775-14",17,0,1,265,50,21
"12886","경지리버캐슬","서울 강동구 암사동 510-10",19,0,1,299,30,40
"126639","경지아리움","서울 강동구 길동 413-11",124,0,1,552,59,62
"16212","경창프라자","서울 양천구 신월동 484-1",19,0,1,319,59,19
"13551","경향렉스빌","서울 은평구 응암동 96-18",124,0,1,568,59,211
